code	level	parent	name_en
5211	unit	521	Stall and Market Salespersons
5212	unit	521	Street Food Salespersons
522	minor	52	Shop Salespersons
5221	unit	522	Shopkeepers
5222	unit	522	Shop Supervisors
5223	unit	522	Shop Sales Assistants
523	minor	52	Cashiers and Ticket Clerks
5230	unit	523	Cashiers and Ticket Clerks
524	minor	52	Other Sales Workers
5241	unit	524	Fashion and Other Models
5242	unit	524	Sales Demonstrators
5243	unit	524	Door-to-door Salespersons
5244	unit	524	Contact Centre Salespersons
5245	unit	524	Service Station Attendants
5246	unit	524	Food Service Counter Attendants
5249	unit	524	Sales Workers Not Elsewhere Classified
53	sub-major	5	Personal Care Workers
531	minor	53	Child Care Workers and Teachers' Aides
5311	unit	531	Child Care Workers
5312	unit	531	Teachers' Aides
532	minor	53	Personal Care Workers in Health Services
5321	unit	532	Health Care Assistants
5322	unit	532	Home-based Personal Care Workers
5329	unit	532	Personal Care Workers in Health Services Not Elsewhere Classified
54	sub-major	5	Protective Services Workers
541	minor	54	Protective Services Workers
5411	unit	541	Fire Fighters
5412	unit	541	Police Officers
5413	unit	541	Prison Guards
5414	unit	541	Security Guards
5419	unit	541	Protective Services Workers Not Elsewhere Classified
6	major		Skilled Agricultural, Forestry and Fishery Workers
61	sub-major	6	Market-oriented Skilled Agricultural Workers
611	minor	61	Market Gardeners and Crop Growers
6111	unit	611	Field Crop and Vegetable Growers
6112	unit	611	Tree and Shrub Crop Growers
6113	unit	611	Gardeners; Horticultural and Nursery Growers
6114	unit	611	Mixed Crop Growers
612	minor	61	Animal Producers
6121	unit	612	Livestock and Dairy Producers
6122	unit	612	Poultry Producers
6123	unit	612	Apiarists and Sericulturists
6129	unit	612	Animal Producers Not Elsewhere Classified
613	minor	61	Mixed Crop and Animal Producers
6130	unit	613	Mixed Crop and Animal Producers
62	sub-major	6	Market-oriented Skilled Forestry, Fishery and Hunting Workers
621	minor	62	Forestry and Related Workers
6210	unit	621	Forestry and Related Workers
622	minor	62	Fishery Workers, Hunters and Trappers
6221	unit	622	Aquaculture Workers
6222	unit	622	Inland and Coastal Waters Fishery Workers
6223	unit	622	Deep-sea Fishery Workers
6224	unit	622	Hunters and Trappers
63	sub-major	6	Subsistence Farmers, Fishers, Hunters and Gatherers
631	minor	63	Subsistence Crop Farmers
6310	unit	631	Subsistence Crop Farmers
632	minor	63	Subsistence Livestock Farmers
6320	unit	632	Subsistence Livestock Farmers
633	minor	63	Subsistence Mixed Crop and Livestock Farmers
6330	unit	633	Subsistence Mixed Crop and Livestock Farmers
634	minor	63	Subsistence Fishers, Hunters, Trappers and Gatherers
6340	unit	634	Subsistence Fishers, Hunters, Trappers and Gatherers
7	major		Craft and Related Trades Workers
71	sub-major	7	Building and Related Trades Workers (excluding Electricians)
711	minor	71	Building Frame and Related Trades Workers
7111	unit	711	House Builders
7112	unit	711	Bricklayers and Related Workers
7113	unit	711	Stonemasons, Stone Cutters, Splitters and Carvers
7114	unit	711	Concrete Placers, Concrete Finishers and Related Workers
7115	unit	711	Carpenters and Joiners
7119	unit	711	Building Frame and Related Trades Workers Not Elsewhere Classified
712	minor	71	Building Finishers and Related Trades Workers
7121	unit	712	Roofers
7122	unit	712	Floor Layers and Tile Setters
7123	unit	712	Plasterers
7124	unit	712	Insulation Workers
7125	unit	712	Glaziers
7126	unit	712	Plumbers and Pipe Fitters
7127	unit	712	Air Conditioning and Refrigeration Mechanics
713	minor	71	Painters, Building Structure Cleaners and Related Trades Workers
7131	unit	713	Painters and Related Workers
7132	unit	713	Spray Painters and Varnishers
7133	unit	713	Building Structure Cleaners
72	sub-major	7	Metal, Machinery and Related Trades Workers
721	minor	72	Sheet and Structural Metal Workers, Moulders and Welders, and Related Workers
7211	unit	721	Metal Moulders and Coremakers
7212	unit	721	Welders and Flame Cutters
7213	unit	721	Sheet Metal Workers
7214	unit	721	Structural Metal Preparers and Erectors
7215	unit	721	Riggers and Cable Splicers
722	minor	72	Blacksmiths, Toolmakers and Related Trades Workers
7221	unit	722	Blacksmiths, Hammersmiths and Forging Press Workers
